Symbol;LegalName;FriendlyName
AMD;Advanced Micro Devices Inc;Advanced Micro Devices 
ADBE;Adobe Inc.;Adobe 
ALGN;Align Technology Inc;Align Technology 
AMZN;Amazon.com Inc;Amazon.com 
AMGN;Amgen Inc;Amgen 
AEP;American Electric Power Company Inc;American Electric Power Company 
ADI;Analog Devices Inc;Analog Devices 
ANSS;ANSYS Inc;ANSYS 
AAPL;Apple Inc;Apple 
AMAT;Applied Materials Inc;Applied Materials 
ASML;ASML Holding NV;ASML  
TEAM;Atlassian Corporation PLC;Atlassianoration PLC
ADSK;Autodesk Inc;Autodesk 
ATVI;Activision Blizzard Inc;Activision Blizzard 
ADP;Automatic Data Processing Inc;Automatic Data Processing 
AVGO;Broadcom Inc;Broadcom 
BIDU;Baidu Inc;Baidu 
BIIB;Biogen Inc;Biogen 
BMRN;Biomarin Pharmaceutical Inc;Biomarin Pharmaceutical 
BKNG;Booking Holdings Inc;Booking  
CDNS;Cadence Design Systems Inc;Cadence Design Systems 
CDW;CDW Corp;CDW
CERN;Cerner Corp;Cerner
CHKP;Check Point Software Technologies Ltd;Check Point Software Technologies 
CHTR;Charter Communications Inc;Charter Communications 
CPRT;Copart Inc;Copart 
CRWD;CrowdStrike Holdings Inc;CrowdStrike  
CTAS;Cintas Corp;Cintas
CSCO;Cisco Systems Inc;Cisco Systems 
CMCSA;Comcast Corp;Comcast
COST;Costco Wholesale Corp;Costco Wholesale
CSX;CSX Corp;CSX
CTSH;Cognizant Technology Solutions Corp;Cognizant Technology Solutions
DOCU;DocuSign Inc;DocuSign 
DXCM;Dexcom Inc;Dexcom 
DLTR;Dollar Tree Inc;Dollar Tree 
EA;Electronic Arts;Electronic Arts
EBAY;eBay Inc;eBay 
EXC;Exelon Corp;Exelon
FAST;Fastenal Co;Fastenal Co
FB;Meta Platforms Inc;Meta Platforms 
FISV;Fiserv Inc;Fiserv 
FOX;Fox Corp. Class B;Fox. 
FOXA;Fox Corp. Class A;Fox. 
GILD;Gilead Sciences Inc;Gilead Sciences 
GOOG;Alphabet Class C;Alphabet Class C
GOOGL;Alphabet Class A;Alphabet 
HON;Honeywell International Inc;Honeywell International 
ILMN;Illumina Inc;Illumina 
INCY;Incyte Corp;yte
INTC;Intel Corp;Intel
INTU;Intuit Inc;Intuit 
ISRG;Intuitive Surgical Inc;Intuitive Surgical 
MRVL;Marvell Technology Inc;Marvell Technology 
IDXX;IDEXX Laboratories Inc;IDEXX Laboratories 
JD;JD.Com Inc;JD.Com 
KDP;Keurig Dr Pepper Inc;Keurig Dr Pepper 
KLAC;KLA Corp;KLA
KHC;Kraft Heinz Co;Kraft Heinz Co
LRCX;Lam Research Corp;Lam Research
LULU;Lululemon Athletica Inc;Lululemon Athletica 
MELI;Mercadolibre Inc;Mercadolibre 
MAR;Marriott International Inc;Marriott International 
MTCH;Match Group Inc;Match Group 
MCHP;Microchip Technology Inc;Microchip Technology 
MDLZ;Mondelez International Inc;Mondelez International 
MRNA;Moderna Inc;Moderna 
MNST;Monster Beverage Corp;Monster Beverage
MSFT;Microsoft Corp;Microsoft
MU;Micron Technology Inc;Micron Technology 
NFLX;Netflix Inc;Netflix 
NTES;NetEase Inc;NetEase 
NVDA;NVIDIA Corp;IDIA
NXPI;NXP Semiconductors NV;NXP Semiconductors 
OKTA;Okta Inc;Okta 
ORLY;O�Reilly Automotive Inc;O�Reilly Automotive 
PAYX;Paychex Inc;Paychex 
PCAR;Paccar Inc;Paccar 
PDD;Pinduoduo Inc;Pinduoduo 
PTON;Peloton Interactive Inc;Peloton Interactive 
PYPL;PayPal Holdings Inc;PayPal  
PEP;PepsiCo Inc.;PepsiCo 
QCOM;Qualcomm Inc;Qualcomm 
REGN;Regeneron Pharmaceuticals Inc;Regeneron Pharmaceuticals 
ROST;Ross Stores Inc;Ross Stores 
SIRI;Sirius XM Holdings Inc;Sirius XM  
SGEN;Seagen Inc;Seagen 
SPLK;Splunk Inc;Splunk 
SWKS;Skyworks Solutions Inc;Skyworks Solutions 
SBUX;Starbucks Corp;Starbucks
SNPS;Synopsys Inc;Synopsys 
TCOM;Trip.com Group Ltd;Trip.com Group 
TSLA;Tesla Inc;Tesla 
TXN;Texas Instruments Inc;Texas Instruments 
TMUS;T-Mobile US Inc;T-Mobile US 
VRSN;Verisign Inc;Verisign 
VRSK;Verisk Analytics Inc;Verisk Analytics 
VRTX;Vertex Pharmaceuticals Inc;Vertex Pharmaceuticals 
WBA;Walgreens Boots Alliance Inc;Walgreens Boots Alliance 
WDAY;Workday Inc;Workday 
XEL;Xcel Energy Inc;Xcel Energy 
XLNX;Xilinx Inc;Xilinx 
ZM;Zoom Video Communications Inc;Zoom Video Communications 